symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
mlm,0.91,-6.60%,5.66%,281.82,135.08,206.79,217.12,666.19k,562.95k,62.24M,58.55M,0.65%,99.02%,2.23M,3.35,4.05%,3.58%,2.15M,2.2,1.06%,2.13,1.03%,0.89,22.49%,"Jun 29, 2020","May 28, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",13.41%,19.76%,5.33%,11.58%,4.43B,71.04,1.40%,1.18B,1.25B,594.1M,9.48,-39.60%,424M,6.81,3.75B,70.68,1.70,85.16,954.9M,474.92M
ibm,1.22,-17.42%,5.66%,158.75,90.56,122.85,126.61,5.32M,4.39M,887.89M,886.44M,0.11%,58.56%,21.74M,4.33,2.45%,2.45%,21.51M,6.52,5.63%,6.48,5.60%,4.08,64.16%,"Jun 09, 2020","May 06, 2020",2:1,"May 26, 1999","Dec 30, 2019","Mar 30, 2020",11.78%,12.78%,4.30%,49.10%,76.54B,86.30,-3.40%,36.49B,16.03B,9.02B,10.10,-26.10%,11.86B,13.36,69.45B,345.06,0.96,22.52,14.49B,17.44B
gpn,1.14,-0.84%,5.66%,209.62,105.54,176.55,174.45,1.99M,1.68M,299.01M,296.99M,0.80%,91.36%,4.96M,2.9,1.91%,1.66%,5.12M,0.78,0.48%,0.60,0.36%,0.06,21.24%,"Jun 25, 2020","Jun 10, 2020",2:1,"Nov 02, 2015","Dec 30, 2019","Mar 30, 2020",7.78%,19.52%,2.47%,3.16%,5.93B,25.38,115.60%,2.89B,2.29B,461.85M,1.97,27.80%,1.8B,6.02,10.17B,36.96,1.34,91.37,1.6B,1.49B
k,0.58,22.16%,5.66%,71.05,52.66,65.80,65.07,2.27M,1.62M,342.67M,278.81M,0.69%,89.77%,11.41M,4.69,4.16%,3.33%,11.14M,2.28,3.46%,2.27,3.44%,3.18,75.92%,"Jun 14, 2020","May 28, 2020",2:1,"Aug 24, 1997","Dec 27, 2019","Mar 27, 2020",7.61%,12.86%,5.90%,33.03%,13.47B,39.50,-3.10%,4.43B,2.21B,1.02B,2.99,23.00%,1.02B,2.96,9.11B,283.56,0.77,7.80,1.5B,1.12B
syf,1.67,-37.05%,5.66%,38.18,12.15,22.93,24.51,8.93M,5.37M,583.71M,540.19M,0.37%,106.54%,14.1M,1.6,2.42%,2.42%,15.22M,0.88,4.12%,0.87,4.08%,N/A,19.55%,"May 13, 2020","Apr 30, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",36.53%,51.19%,2.88%,21.93%,8.01B,12.42,-44.80%,9.13B,N/A,2.92B,4.49,-74.20%,13.7B,23.48,17.25B,N/A,N/A,19.26,8.24B,N/A
mcd,0.66,-13.69%,5.66%,221.93,124.23,188.28,190.11,3.96M,2.68M,743.56M,742.9M,0.12%,68.79%,6.39M,1.56,0.86%,0.86%,7.27M,5,2.71%,4.82,2.61%,2.60,63.17%,"Jun 14, 2020","May 28, 2020",2:1,"Mar 07, 1999","Dec 30, 2019","Mar 30, 2020",27.95%,41.37%,11.07%,N/A,20.77B,27.58,-6.20%,11.12B,10.24B,5.8B,7.64,-16.70%,5.38B,7.24,52.31B,N/A,1.89,-12.50,7.65B,4.13B
ame,1.24,-4.48%,5.66%,102.31,54.82,90.05,87.46,1.41M,956.15k,229.19M,228.38M,0.45%,89.04%,2.87M,2.1,1.41%,1.25%,3.11M,0.72,0.83%,0.60,0.70%,0.66,14.71%,"Jun 29, 2020","Jun 10, 2020",3:2,"Jul 01, 2012","Dec 30, 2019","Mar 30, 2020",18.48%,22.40%,7.29%,19.17%,5.07B,22.22,-6.60%,1.79B,1.38B,937.64M,4.08,37.40%,1.25B,5.46,3.43B,64.34,1.88,23.21,1.19B,939.57M
hrl,-0.07,16.88%,5.66%,51.53,39.01,47.87,46.66,2.4M,1.95M,538.95M,280.28M,47.97%,46.89%,26.5M,10.5,9.43%,4.92%,26.72M,0.93,1.98%,0.88,1.89%,1.77,52.06%,"Aug 16, 2020","Jul 09, 2020",2:1,"Feb 09, 2016","Oct 26, 2019","Apr 25, 2020",9.64%,11.49%,8.44%,15.34%,9.6B,17.93,3.30%,1.88B,1.29B,925.56M,1.70,-19.40%,622.91M,1.16,376.26M,6.10,1.70,11.43,1.11B,521.84M
wmb,1.82,-35.59%,5.66%,28.85,8.41,19.52,19.11,10.95M,7.87M,1.21B,1.21B,0.14%,89.92%,19.36M,1.94,1.79%,1.60%,21.28M,1.6,8.76%,1.54,8.43%,6.49,"1,283.33%","Jun 28, 2020","Jun 10, 2020",10000:8152,"Jan 02, 2012","Dec 30, 2019","Mar 30, 2020",1.71%,30.66%,3.41%,-0.35%,8.06B,6.65,-6.90%,4.7B,4.2B,150M,0.11,N/A,400M,0.33,22.48B,147.30,0.74,10.16,3.7B,548.12M
dg,0.53,32.32%,5.66%,194.84,125.00,188.65,168.50,2.45M,1.77M,251.72M,250.64M,0.19%,94.96%,2.8M,0.9,1.39%,1.11%,3.31M,1.44,0.76%,1.32,0.70%,1.06,17.10%,"Jul 20, 2020","Jul 05, 2020",N/A,N/A,"Jan 30, 2020","Apr 30, 2020",6.69%,9.10%,7.29%,28.70%,29.58B,116.11,27.60%,8.49B,3.21B,1.98B,7.71,68.90%,2.67B,10.62,12.92B,179.15,1.44,28.64,3.4B,2.14B
ftnt,1.00,71.49%,5.66%,151.95,70.20,138.19,117.49,1.73M,1.72M,161.65M,137.09M,16.66%,79.12%,5.38M,3.28,4.67%,3.33%,5.32M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Jun 01, 2011","Dec 30, 2019","Mar 30, 2020",16.44%,16.49%,7.27%,46.63%,2.26B,13.21,22.10%,1.65B,436.2M,371.7M,2.13,76.90%,1.4B,8.67,43.1M,8.04,1.32,3.30,926.1M,640.64M
stz,0.92,-6.88%,5.66%,212.00,104.28,178.22,172.66,1.32M,1.06M,168.02M,160.57M,9.88%,85.41%,6.4M,4.98,3.99%,3.32%,6.16M,3,1.64%,3.00,1.64%,1.12,"1,034.48%","Aug 24, 2020","Aug 09, 2020",2:1,"May 15, 2005","Feb 28, 2020","May 30, 2020",0.68%,32.81%,6.11%,0.72%,8.21B,42.76,-6.40%,4.29B,3.01B,55.7M,0.29,N/A,302.8M,1.58,12.17B,107.00,1.94,57.86,2.64B,1.49B
ato,0.31,-7.62%,5.66%,121.08,77.92,100.91,105.25,983.4k,621.22k,122.31M,120.9M,1.11%,87.74%,5.84M,5.07,6.14%,4.77%,4.86M,2.3,2.35%,2.20,2.25%,2.17,48.25%,"Jun 07, 2020","May 21, 2020",3:2,"May 16, 1994","Sep 29, 2019","Mar 30, 2020",20.02%,28.56%,3.63%,9.43%,2.78B,23.12,-10.70%,1.41B,1.2B,556.76M,4.62,11.50%,320.1M,2.62,4.76B,75.50,0.89,51.54,1.04B,-1.03B
ctl,0.99,-19.17%,5.66%,15.30,8.16,10.15,11.23,11.43M,9.08M,1.1B,991.37M,0.79%,78.27%,115.97M,9.24,12.03%,10.57%,105.39M,1,10.38%,1.00,10.38%,10.20,87.72%,"Jun 11, 2020","May 28, 2020",3:2,"Mar 31, 1999","Dec 30, 2019","Mar 30, 2020",5.45%,17.81%,3.84%,9.02%,22.2B,20.69,-3.70%,12.32B,8.76B,1.21B,1.13,N/A,1.56B,1.42,36.34B,273.43,0.82,12.11,6.8B,2.81B
nee,0.22,24.30%,5.66%,283.35,174.80,248.65,245.52,2.34M,1.87M,489.45M,488.22M,0.18%,81.04%,6.05M,2.51,1.24%,1.24%,6.58M,5.6,2.22%,5.15,2.04%,2.54,71.43%,"Jun 14, 2020","May 31, 2020",2:1,"Mar 15, 2005","Dec 30, 2019","Mar 30, 2020",17.78%,30.76%,3.31%,7.82%,19.74B,40.73,13.20%,11.29B,10.61B,3.51B,7.20,-38.10%,3.34B,6.81,47.21B,114.82,0.71,74.38,8.45B,-6.17B
lrcx,1.36,76.38%,5.66%,344.32,181.38,303.40,283.23,2.16M,1.41M,145.16M,144.56M,0.32%,89.83%,4.38M,2.06,3.02%,3.02%,4.16M,4.6,1.37%,4.55,1.36%,1.49,32.76%,"Jul 07, 2020","Jun 15, 2020",3:1,"Mar 16, 2000","Jun 29, 2019","Mar 28, 2020",21.81%,26.37%,12.27%,42.67%,9.61B,66.05,2.60%,4.36B,2.8B,2.1B,13.89,5.00%,5.39B,37.15,5.29B,116.53,4.47,31.26,2.19B,1.14B
ipgp,1.71,19.63%,5.66%,170.03,98.04,160.31,138.15,372.83k,222.32k,53.03M,36.92M,33.81%,68.32%,1.46M,3.87,5.18%,2.76%,1.79M,N/A,N/A,N/A,N/A,N/A,0.00%,"Dec 27, 2012","Dec 18, 2012",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",12.93%,19.71%,5.80%,7.01%,1.25B,23.53,-20.90%,606.21M,343.74M,161.48M,3.01,-34.00%,1.2B,22.54,45.74M,1.94,9.59,44.33,336.65M,235.16M
msi,0.66,-25.68%,5.66%,187.49,120.77,139.93,153.60,1.67M,1.59M,175.7M,169.35M,0.43%,88.33%,2.66M,1.49,2.04%,1.56%,2.32M,2.56,1.96%,2.42,1.85%,1.85,46.45%,"Jul 14, 2020","Jun 11, 2020",10000:40425,"Jan 03, 2011","Dec 30, 2019","Mar 27, 2020",11.59%,21.88%,10.41%,N/A,7.89B,46.87,-0.10%,3.95B,2.12B,914M,5.21,30.50%,1.67B,9.83,6.5B,N/A,1.15,-5.58,1.88B,1.36B
cf,1.10,-41.27%,5.66%,55.15,19.73,29.59,32.98,2.62M,2.04M,213.8M,212.53M,0.47%,97.41%,4.93M,1.96,3.04%,2.31%,4.54M,1.2,4.46%,1.20,4.46%,3.33,56.07%,"May 28, 2020","May 13, 2020",5:1,"Jun 17, 2015","Dec 30, 2019","Mar 30, 2020",10.33%,20.35%,4.57%,11.18%,4.56B,20.88,-3.00%,1.17B,1.83B,471M,2.15,-24.40%,753M,3.52,4.75B,87.90,1.20,12.76,1.49B,891.88M
cinf,0.52,-34.63%,5.66%,118.19,46.07,63.97,82.55,1.54M,1.53M,160.8M,156.54M,6.57%,64.91%,3.16M,2.02,2.44%,1.97%,3.12M,2.4,3.57%,2.28,3.39%,2.68,712.50%,"Jul 14, 2020","Jun 15, 2020",105:100,"Apr 03, 2005","Dec 30, 2019","Mar 30, 2020",1.34%,1.45%,0.22%,0.91%,5.67B,34.76,N/A,2.63B,157M,76M,0.47,N/A,486M,3.02,960M,11.94,1.11,50.01,1.18B,121.12M
eix,0.50,-21.58%,5.66%,78.93,43.63,57.43,63.29,2.95M,2.17M,377.94M,363.13M,0.06%,91.49%,5.41M,1.82,1.61%,1.49%,5.38M,2.55,4.73%,2.50,4.64%,3.23,73.10%,"Jul 30, 2020","Jul 01, 2020",2:1,"Jun 21, 1993","Dec 30, 2019","Mar 30, 2020",9.66%,20.21%,2.49%,8.41%,12.31B,35.26,-1.20%,6.74B,4.1B,1.19B,3.40,-34.20%,1.34B,3.68,21.98B,141.43,0.79,36.73,-202M,-2.41B
nvr,1.00,-5.20%,5.66%,4071.13,2043.01,3289.62,3334.50,30.64k,19.03k,3.68M,3.58M,5.53%,88.45%,37.61k,1.22,1.28%,1.02%,55.25k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",11.83%,13.57%,17.12%,40.13%,7.32B,2002.83,-6.20%,1.5B,1.01B,865.84M,218.58,-6.70%,1.08B,293.11,682.09M,28.22,4.88,657.90,707.12M,428.74M
keys,1.09,7.28%,5.66%,110.00,77.93,102.05,96.93,1.82M,1.24M,187.04M,186.06M,0.44%,92.94%,9.42M,3.5,6.62%,5.04%,8.82M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Oct 30, 2019","Apr 29, 2020",14.01%,17.63%,7.14%,19.99%,4.2B,22.32,-17.90%,2.53B,1.06B,588M,3.08,-53.60%,1.84B,9.84,1.95B,63.34,3.47,16.53,1.03B,721.12M
intu,1.04,8.85%,5.66%,314.73,187.68,291.85,274.12,1.24M,1.01M,260.77M,251.78M,3.49%,89.81%,2.23M,1.65,0.88%,0.85%,2.31M,2.12,0.69%,2.06,0.67%,0.90,40.63%,"Jul 19, 2020","Jul 08, 2020",2:1,"Jul 06, 2006","Jul 30, 2019","Apr 29, 2020",19.50%,22.46%,13.11%,30.35%,6.86B,26.30,-8.30%,5.64B,1.74B,1.34B,5.07,-21.30%,3.97B,15.23,663M,13.99,1.79,18.18,2B,1.55B
disck,1.51,-39.35%,5.66%,31.20,15.43,19.83,22.69,2.46M,2.31M,340.16M,469.78M,4.72%,87.50%,6.95M,2.95,2.56%,1.37%,6.38M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 06, 2014","Dec 30, 2019","Mar 30, 2020",18.54%,29.59%,6.25%,19.89%,11.12B,17.41,-0.90%,7.39B,4.59B,1.84B,2.51,-1.80%,1.46B,2.17,16.11B,141.25,1.61,14.05,3.19B,5.89B
ew,0.86,6.58%,5.66%,82.55,51.51,70.74,71.63,3.2M,2.29M,636M,614.68M,0.67%,89.06%,7.27M,2.16,1.16%,1.14%,7.41M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:1,"May 31, 2020","Dec 30, 2019","Mar 30, 2020",24.71%,28.98%,14.07%,30.15%,4.48B,7.17,13.70%,3.23B,1.39B,1.11B,1.74,24.40%,1.03B,1.66,675.2M,17.31,3.36,6.30,1.38B,702.29M
etfc,1.26,12.71%,5.66%,57.30,25.76,48.85,43.13,2.79M,2.17M,221.09M,218.4M,0.85%,95.42%,12.76M,4.74,6.53%,5.77%,13.49M,0.56,1.11%,0.56,1.14%,N/A,16.09%,"May 18, 2020","May 11, 2020",1:10,"Jun 01, 2010","Dec 30, 2019","Mar 30, 2020",29.47%,42.84%,1.25%,12.72%,2.87B,12.41,-8.60%,2.71B,N/A,806M,3.48,-37.60%,7.44B,33.95,2.11B,32.32,1.02,26.61,7.48B,N/A
ldos,1.14,6.76%,5.66%,125.84,68.00,98.07,99.11,1.1M,1.34M,142.04M,141.24M,0.65%,78.63%,2.7M,3.04,2.28%,1.90%,2.81M,1.36,1.57%,1.34,1.55%,2.15,32.60%,"Jun 29, 2020","Jun 11, 2020",405:1000,"Sep 29, 2013","Jan 02, 2020","Apr 02, 2020",5.20%,7.95%,5.57%,17.91%,11.41B,80.18,12.10%,1.55B,1.14B,593M,4.11,-39.20%,449M,3.16,4.86B,144.74,0.67,23.63,1.08B,922.75M
udr,0.60,-21.87%,5.66%,51.25,29.20,38.24,41.21,2.19M,1.29M,294.89M,291.83M,0.85%,100.18%,8.26M,3.55,5.13%,2.80%,8.29M,1.44,4.00%,1.39,3.85%,3.16,244.64%,"Jul 30, 2020","Jul 08, 2020",2:1,"May 05, 1993","Dec 30, 2019","Mar 30, 2020",13.65%,17.71%,1.52%,4.30%,1.21B,4.19,20.00%,803.91M,765.15M,161.52M,0.55,-78.70%,980k,0,5.08B,118.28,0.29,11.59,628.83M,507.72M
carr,N/A,107.42%,5.66%,26.06,11.50,22.18,18.39,10.88M,6.65M,866.16M,866.05M,0.00%,3.66%,12.63M,1.38,1.63%,1.46%,13M,0.32,1.34%,N/A,N/A,N/A,0.00%,"Jul 19, 2020","Jun 24, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",9.97%,13.70%,N/A,N/A,18.17B,20.98,-10.10%,5.46B,2.82B,1.81B,N/A,-76.00%,768M,0.89,11.96B,395.08,1.34,N/A,2.23B,N/A
incy,1.04,28.71%,5.66%,110.37,62.48,100.60,87.17,1.67M,1.16M,217.37M,183.52M,0.66%,92.40%,7.79M,4.74,4.24%,3.59%,6.52M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 31, 2000","Dec 30, 2019","Mar 30, 2020",-16.87%,-14.22%,-7.20%,-18.69%,2.23B,10.34,14.20%,890.4M,-262.56M,-376.05M,-1.75,N/A,1.3B,5.99,71.56M,3.69,3.41,8.93,-128.42M,-39.82M
pld,0.96,18.61%,5.66%,99.79,59.82,93.99,88.67,3.33M,2.75M,738.58M,736.12M,0.52%,88.99%,7.83M,2.44,1.20%,1.06%,8.19M,2.32,2.40%,2.17,2.25%,2.93,83.14%,"Jun 29, 2020","Jun 14, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",45.51%,34.75%,1.75%,5.91%,3.77B,5.82,28.70%,2.61B,2.51B,1.71B,2.62,40.90%,807.98M,1.09,16.17B,43.98,3.03,43.58,2.45B,1.09B
orcl,0.86,-3.59%,5.66%,59.85,39.71,54.35,52.54,12.83M,14.15M,3.15B,1.92B,36.36%,52.78%,30.37M,2.63,1.58%,0.99%,30.34M,0.96,1.67%,0.96,1.67%,1.55,31.17%,"Jul 27, 2020","Jul 13, 2020",2:1,"Oct 12, 2000","May 30, 2020","May 30, 2020",25.94%,36.22%,7.89%,57.78%,39.07B,12.17,-6.30%,31.13B,16.33B,10.14B,3.08,-16.70%,43.06B,14.03,73.71B,579.63,3.03,3.94,13.14B,10.19B
pcar,1.16,5.23%,5.66%,83.41,49.11,74.75,70.86,1.89M,1.46M,345.73M,339.21M,2.01%,65.42%,4.28M,2.28,1.26%,1.24%,4.91M,1.28,1.72%,1.28,1.72%,1.64,21.02%,"Jun 01, 2020","May 10, 2020",3:2,"Oct 09, 2007","Dec 30, 2019","Mar 30, 2020",8.73%,11.01%,6.25%,22.60%,24.27B,69.99,-20.40%,3.86B,3.14B,2.12B,6.09,-42.90%,4.33B,12.52,11.19B,116.13,5.05,27.88,2.92B,66.5M
hum,0.87,33.74%,5.66%,412.70,208.25,387.77,357.94,970.59k,707.08k,132.21M,131.76M,0.25%,95.04%,1.4M,1.46,1.06%,1.06%,2.15M,2.5,0.65%,2.28,0.59%,0.64,11.67%,"Jul 30, 2020","Jun 28, 2020",3:2,"Jul 31, 1991","Dec 30, 2019","Mar 30, 2020",3.86%,5.12%,6.88%,22.54%,67.72B,508.21,17.60%,11.03B,3.71B,2.61B,19.52,-16.40%,17.16B,129.78,8.12B,65.75,1.65,93.45,4.86B,2.11B
txt,1.67,-41.87%,5.66%,54.24,20.26,33.47,35.04,1.76M,1.26M,227.47M,226.33M,0.45%,84.45%,5.74M,2.96,3.38%,2.52%,5.28M,0.08,0.27%,0.08,0.27%,0.18,2.70%,"Jun 30, 2020","Jun 10, 2020",2:1,"Aug 26, 2007","Jan 03, 2020","Apr 03, 2020",5.16%,7.93%,4.33%,12.74%,13.3B,57.90,-10.70%,2.2B,1.46B,686M,2.97,-72.10%,2.26B,9.95,5.31B,95.92,2.07,24.34,835M,382.75M
kmx,1.70,-0.68%,5.66%,103.18,37.59,91.10,82.02,1.89M,1.21M,163.08M,153.08M,0.42%,102.56%,14.4M,8.8,9.99%,8.85%,15.23M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Mar 26, 2007","Feb 28, 2020","May 30, 2020",3.25%,4.46%,2.71%,17.83%,19.3B,117.75,-37.70%,3.18B,1.08B,626.67M,3.79,-98.10%,658.02M,4.03,15.41B,430.67,2.85,21.99,969.75M,750.66M
pbct,1.25,-32.99%,5.66%,17.22,9.37,11.84,13.22,4.14M,4.21M,424.66M,415.42M,0.65%,81.01%,16.65M,3.89,5.18%,3.92%,18.6M,0.72,6.92%,0.71,6.83%,4.24,55.91%,"May 14, 2020","Apr 29, 2020",21:10,"Apr 15, 2007","Dec 30, 2019","Mar 30, 2020",28.56%,42.45%,0.99%,7.47%,1.88B,4.60,15.30%,1.81B,N/A,521.9M,1.27,13.80%,2.2B,5.25,7.43B,N/A,N/A,17.87,478.1M,N/A
sna,1.37,-16.71%,5.66%,172.61,90.72,136.86,138.04,637.35k,466.27k,54.35M,53.6M,1.36%,101.41%,6.62M,9.99,13.96%,12.18%,6.44M,4.32,3.35%,4.06,3.15%,1.94,34.58%,"Jun 09, 2020","May 19, 2020",3:2,"Sep 10, 1996","Dec 27, 2019","Mar 27, 2020",16.33%,23.18%,10.48%,20.42%,4B,72.90,-6.90%,2.09B,1.01B,652.8M,11.74,-22.90%,185.6M,3.41,1.17B,34.97,2.50,61.31,686.7M,524.66M
lnt,0.36,-1.92%,5.66%,60.28,37.66,48.87,51.63,1.42M,1.33M,249.5M,249.06M,0.18%,77.55%,4.6M,3.34,2.11%,1.84%,3.86M,1.52,3.15%,1.45,2.99%,3.06,57.80%,"May 14, 2020","Apr 28, 2020",2:1,"May 19, 2016","Dec 30, 2019","Mar 30, 2020",16.84%,21.17%,2.90%,11.38%,3.58B,14.87,-7.20%,1.46B,1.33B,602.1M,2.50,35.90%,55.2M,0.22,6.46B,113.31,0.55,22.05,639.5M,-470.11M
t,0.68,-10.62%,5.66%,39.70,26.08,30.70,33.16,37.41M,35.69M,7.13B,7.12B,0.08%,57.41%,120.58M,3.36,1.69%,1.69%,126.38M,2.08,7.04%,2.06,6.97%,5.58,105.10%,"Aug 02, 2020","Jul 08, 2020",2:1,"Mar 19, 1998","Dec 30, 2019","Mar 30, 2020",8.05%,16.08%,3.29%,7.99%,179.14B,24.58,-4.60%,97.05B,53.73B,14.38B,1.97,12.50%,10.05B,1.41,199.66B,102.15,0.76,24.95,46.48B,29.1B
syy,1.10,-28.19%,5.66%,85.98,26.00,55.70,61.14,4.92M,3.31M,507.62M,506.69M,0.24%,82.30%,13.4M,2.67,2.77%,2.64%,15.99M,1.8,3.53%,1.68,3.30%,2.41,63.40%,"Jul 23, 2020","Jun 30, 2020",2:1,"Dec 17, 2000","Jun 28, 2019","Mar 27, 2020",2.30%,3.87%,7.45%,61.46%,59.5B,116.28,-6.50%,11.41B,3.02B,1.37B,2.65,N/A,2.25B,4.44,11.5B,558.20,1.49,4.00,2.12B,1.3B
dte,0.61,-17.29%,5.66%,135.67,71.21,108.28,111.89,1.29M,1.05M,192.61M,191.26M,0.60%,75.60%,4.35M,3.36,2.94%,2.26%,4.15M,4.05,3.80%,3.91,3.67%,3.17,66.58%,"Oct 14, 2020","Sep 17, 2020",2:1,"Jan 14, 1963","Dec 30, 2019","Mar 30, 2020",9.10%,13.92%,2.66%,9.61%,12.18B,64.94,-14.00%,3.42B,2.7B,1.11B,5.89,-15.20%,552M,2.87,18.7B,155.99,0.89,61.38,2.96B,-1.15B
qrvo,1.40,58.45%,5.66%,122.36,67.54,110.40,100.71,1.49M,913.65k,114.42M,114.06M,0.47%,93.23%,3.14M,2.11,3.12%,2.74%,3.62M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:4,"Jan 01, 2015","Mar 27, 2020","Mar 27, 2020",10.32%,16.24%,5.32%,7.73%,3.24B,27.68,15.70%,1.36B,969.01M,334.32M,2.80,-18.10%,715.4M,6.24,1.65B,38.39,3.14,37.45,945.65M,724.3M
ctxs,0.29,49.99%,5.66%,155.10,90.28,144.33,132.02,1.83M,1.06M,123.45M,122.59M,0.95%,101.74%,4.73M,2.47,5.08%,3.83%,4.73M,1.4,0.94%,1.40,0.92%,N/A,24.69%,"Jun 18, 2020","Jun 03, 2020",12558:10000,"Jan 31, 2017","Dec 30, 2019","Mar 30, 2020",23.88%,20.62%,8.55%,448.10%,3.15B,24.41,19.70%,2.6B,774.12M,752.69M,5.70,64.20%,550.52M,4.46,1.98B,N/A,0.78,-1.78,799.75M,759.31M
ip,1.34,-17.72%,5.66%,47.64,26.38,35.34,36.59,3.2M,2.61M,393.04M,391.6M,0.24%,85.03%,9.71M,3.4,3.03%,2.47%,10.56M,2.05,6.19%,2.03,6.12%,4.06,121.99%,"Jun 14, 2020","May 25, 2020",1014:1000,"Jul 01, 2014","Dec 30, 2019","Mar 30, 2020",2.99%,10.26%,4.20%,9.11%,22.08B,56.15,-5.20%,7.11B,3.58B,660M,1.66,N/A,1.24B,3.15,10.65B,155.23,0.77,17.46,3.53B,6.15B
ste,0.77,1.20%,5.66%,168.98,105.69,155.92,151.04,616.51k,566.97k,84.95M,84.46M,1.18%,91.92%,1.24M,2.24,1.65%,1.46%,1.27M,1.48,0.98%,1.45,0.96%,1.24,30.46%,"Jun 25, 2020","Jun 10, 2020",2:1,"Aug 24, 1998","Mar 30, 2020","Mar 30, 2020",13.45%,18.09%,6.53%,12.37%,3.03B,35.75,7.10%,1.32B,745.58M,407.6M,4.76,13.40%,319.58M,3.76,1.28B,37.70,2.40,39.96,590.56M,286.6M
swk,1.54,-4.60%,5.66%,173.67,70.00,135.78,133.02,1.74M,819.9k,154.13M,153.74M,0.28%,89.32%,4.32M,2.36,2.83%,2.80%,5.74M,2.76,2.01%,2.73,1.99%,1.87,44.75%,"Jun 15, 2020","May 31, 2020",2:1,"Jun 03, 1996","Dec 27, 2019","Mar 27, 2020",6.45%,11.51%,4.62%,10.90%,14.24B,95.57,-6.10%,4.85B,2.2B,919.1M,6.09,-21.60%,987.1M,6.4,6.98B,77.93,1.06,48.36,1.53B,958.83M
mco,1.19,42.89%,5.66%,296.66,164.19,275.34,250.25,873.32k,598.37k,187.5M,186.55M,0.41%,94.57%,1.91M,1.92,1.18%,1.02%,2.12M,2.24,0.76%,2.06,0.70%,1.14,25.56%,"Jun 09, 2020","May 18, 2020",2:1,"May 18, 2005","Dec 30, 2019","Mar 30, 2020",30.88%,44.22%,13.21%,272.92%,4.98B,26.39,13.00%,3.44B,2.4B,1.54B,8.06,30.80%,2.23B,11.9,7.34B,911.92,1.70,3.10,1.65B,1.54B
frc,1.17,6.91%,5.66%,125.12,70.06,108.81,104.63,1.09M,847.23k,171.47M,169.89M,0.96%,108.04%,4.21M,3.33,2.47%,2.46%,5.14M,0.8,0.78%,0.77,0.75%,0.76,14.79%,"May 13, 2020","Apr 28, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",27.50%,35.08%,0.82%,9.51%,3.35B,19.87,9.40%,3.28B,N/A,873.12M,5.14,-3.50%,3.98B,23.21,18.97B,N/A,N/A,53.76,929.82M,N/A
unp,1.06,-3.65%,5.66%,188.96,105.08,170.42,163.59,3.57M,2.63M,678.57M,677.21M,0.14%,83.46%,6.11M,1.64,0.90%,0.90%,7.94M,3.88,2.34%,3.79,2.28%,2.20,44.07%,"Jun 29, 2020","May 27, 2020",2:1,"Jun 08, 2014","Dec 30, 2019","Mar 30, 2020",27.85%,40.82%,8.90%,35.58%,21.55B,31.00,-2.90%,11.89B,11.01B,6B,8.60,6.00%,1.19B,1.75,29.54B,184.74,0.82,23.57,8.81B,3.5B
aapl,1.18,86.97%,5.66%,385.27,192.58,348.53,305.54,35.3M,28.25M,4.33B,4.33B,0.07%,62.12%,34.83M,1.09,0.80%,0.80%,33.59M,3.28,0.86%,3.08,0.80%,1.57,24.08%,"May 13, 2020","May 07, 2020",7:1,"Jun 08, 2014","Sep 27, 2019","Mar 27, 2020",21.35%,24.48%,12.38%,62.09%,267.98B,60.10,0.50%,98.39B,77.31B,57.22B,12.73,-2.70%,94.05B,21.7,118.76B,151.43,1.50,18.14,75.37B,45.04B
